OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
['nan'],"['absolutely', 'love', 'stay']",['nan'],['nan'],['nan'],"['meet', 'everybody', 'know', 'always', 'somebody', 'help', 'ask', 'question']",['nan']
"['improve', 'placement', 'assessment', 'experience', 'future', 'student', 'think', 'improvement', 'graph', 'data', 'system', 'mobile', 'device', 'since', 'difficult', 'move', 'cursor', 'even', 'plot', 'point', 'graph', 'sometimes']",['nan'],['nan'],"['think', 'student', 'round', 'circle', 'make', 'easy', 'student', 'get', 'know']","['money', 'matter']","['favorite', 'part', 'destination', 'kent', 'state', 'experience', 'opportunity', 'take', 'tour', 'downtown', 'kent']",['nan']
[],['nan'],['nan'],"['get', 'know', 'student']",['nan'],"['really', 'like', 'get', 'know', 'flash', 'guide', 'learn', 'experience', 'kent']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['favorite', 'break', 'session', 'especially', 'technology', 'one']",['nan']
"['make', 'sure', 'realize', 'attend', 'go', 'ahead', 'take', 'test', 'dumb', 'answer', 'yeah']","['negative', 'feedback', 'ca', 'advise', 'group', 'phenomenal', 'listen', 'whatever', 'say', 'ask', 'like', 'whatever', 'could', 'make', 'feel', 'satisfy']",['nan'],"['nothing', 'eager', 'meet']","['think', 'look', 'back', 'look', 'upon', 'thoroughly', 'possible']","['best', 'part', 'social', 'activity', 'much', 'fun', 'interactive', 'definitely', 'thing', 'remember', 'even', 'graduate']",['nan']
['nan'],"['helpful', 'answer', 'question', 'help', 'put', 'together', 'good', 'schedule']",['nan'],"['activity', 'integrate', 'student', 'even', 'parent']",['nan'],['nan'],['nan']
[],['nan'],['nan'],['talk'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['safety'],"['interact', 'incoming', 'student', 'educate', 'important', 'part', 'kent', 'experience']",['nan']
['nan'],['nan'],['nan'],"['ice', 'breaker']",['nan'],['nan'],['nan']
['nan'],"['love', 'advisor', 'show', 'up', 'down', 'college']","['like', 'honest', 'felt', 'somewhat', 'support']","['people', 'would', 'actually', 'talk', 'ignore', 'seem', 'irritate', 'talk']","['need', 'professional', 'kind']","['love', 'make', 'schedule', 'learn', 'class', 'finally', 'start', 'process', 'college', 'student']","['rude', 'ignore', 'seem', 'irritate', 'follow', 'page', 'please', 'work', 'hire', 'experience', 'actually', 'make', 'second', 'guess', 'kent', 'state']"
['nan'],['nan'],['nan'],"['people', 'actually', 'talk', 'much', 'everyone', 'else']",['nan'],"['favorite', 'part']",['nan']
['nan'],['nan'],['nan'],['nan'],"['get', 'good', 'feel', 'campus']",['nan'],['nan']
"['take', 'early', 'rather', 'late']","['plan', 'well']",['good'],['college'],['think'],"['meet', 'people', 'college']",['nan']
['nan'],"['advisor', 'laura', 'nice', 'helpful', 'come', 'schedule', 'class', 'find', 'interest', 'also', 'help', 'feel', 'comfortable', 'try', 'know', 'good']",['nan'],"['feel', 'comfortable', 'place', 'put', 'time', 'could', 'meet', 'people', 'feel']","['campus', 'tour', 'option', 'also', 'obvious', 'option', 'thing', 'night', 'one', 'people', 'party', 'type', 'event']","['get', 'know', 'flash', 'guide', 'hear', 'story', 'nice', 'advise', 'appointment', 'also', 'good']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['room', 'experience', 'lot', 'good', 'expect', 'good', 'time', 'play', 'volleyball', 'listen', 'music', 'late', 'night', 'end', 'day', 'one']",['nan']
"['get', 'lose', 'take', 'exam', 'bear', 'mind', 'guy', 'computer', 'live', 'sure', 'cause', 'somehow', 'somewhere', 'something', 'test', 'mislead', 'provide', 'specific', 'feedback', 'likely', 'useless', 'unless', 'add', 'take', 'math', 'placement', 'report', 'complete', 'week', 'get', 'spend', 'hour', 'debate', 'adviser', 'think', 'take', 'foreign', 'language', 'placement', 'include', 'pull', 'h', 'transcript', 'eventually', 'end', 'successfully', 'show', 'need', 'take', 'whole', 'process', 'miss', 'meet', 'would', 'like', 'get', 'day', 'please', 'check', 'sure', 'one', 'issue', 'whilst', 'attend', 'summer', 'thank', 'advance', 'god', 'bless']","['much', 'else', 'add', 'go', 'smoothly', 'meet', 'adviser', 'total', 'extremely', 'helpful', 'contact', 'adviser', 'question', 'could', 'confidently', 'answer', 'like', 'will', 'rely', 'knowledge', 'get', 'best', 'answer', 'possible', 'satisfy', 'issue', 'get', 'course', 'line']",['nan'],"['one', 'small', 'table', 'group', 'discussion', 'pretty', 'much', 'connect', 'nobody', 'else', 'partially', 'fault', 'introvert', 'social', 'event', 'include', 'dance', 'th', 'floor', 'wright', 'hall', 'quite', 'successful', 'meet', 'unsure', 'really', 'nice', 'will', 'talk', 'turn', 'live', 'campus', 'whilst', 'commute', 'however', 'exchange', 'social', 'medium', 'contact', 'information']","['community', 'organization', 'learn', 'formal', 'presentation', 'regardless', 'kent', 'state', 'intention', 'go', 'explain', 'unique', 'body', 'slightly', 'emphasis', 'place', 'inform', 'new', 'student', 'find', 'organization', 'perhaps', 'even', 'give', 'incoming', 'student', 'list', 'student', 'organization', 'would', 'help', 'freshman', 'connect', 'easy']","['food', 'yes', 'delicious', 'serious', 'note', 'really', 'like', 'tour', 'activity', 'do', 'although', 'informative', 'session', 'completely', 'accomplish', 'purpose', 'felt', 'much', 'calm', 'absorb', 'everything', 'favorite', 'especially', 'could', 'venture', 'process', 'everything', 'day', 'allow', 'gather', 'thought', 'prepare', 'next', 'day', 'include', 'advise', 'appointment', 'follow', 'morning']",['nan']
[],['nan'],['nan'],"['good', 'conversation', 'skill']","['add', 'onto', 'day', 'feel', 'like', 'throw', 'trash', 'soon', 'new', 'student', 'come', 'would', 'even', 'serve', 'u', 'food', 'overnight', 'trip', 'soon', 'th', 'come', 'do', 'u', 'corny']",['like'],"['food', 'terrible', 'good', 'drink', 'watery']"
['nan'],"['advisor', 'amaze']","['talk', 'hard', 'u', 'student', 'stay', 'engage', 'felt', 'like', 'thing', 'repeat', 'every', 'speech', 'slightly', 'different', 'way', 'also', 'already', 'hear', 'tour', 'honor', 'college', 'visit', 'felt', 'like', 'waste', 'time', 'could', 'something', 'else']","['time', 'connect', 'big', 'group', 'talk']",['nope'],"['meet', 'friend', 'night']",['nan']
"['take', 'time']","['carl', 'able', 'make', 'lot', 'nervous', 'much', 'fun', 'talk']",['nan'],"['push', 'talk', 'people']","['learn', 'campus']",['social'],['nan']
['nan'],['nan'],['nan'],"['time', 'within', 'major', 'oppose', 'college']","['campus', 'tour']","['free', 'time', 'explore', 'bond', 'student']",['nan']
['nan'],['nan'],['nan'],"['one', 'group', 'activity', 'necessarily', 'big', 'group']",['nan'],"['favorite', 'part', 'flash', 'guide', 'student', 'together', 'connect', 'student', 'also', 'really', 'like', 'flash', 'guide', 'introduction', 'really', 'welcome', 'energetic']",['nan']
