OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
['nan'],['nan'],"['advise', 'anything', 'choose', 'certain', 'class', 'another', 'also', 'get', 'water', 'meal', 'provide', 'fit', 'everyone', 'eat']",['nan'],"['time', 'actually', 'major', 'time', 'tell', 'everyone', 'go', 'class', 'give', 'information', 'live', 'actually', 'campus', 'grocery', 'store', 'campus', 'choose', 'loan', 'repayment', 'work', 'student', 'pay', 'college', 'get', 'job', 'work', 'schedule', 'day', 'day', 'need', 'want', 'prepare']","['schedule', 'class']","['would', 'like', 'parent', 'able', 'stay', 'dorm', 'room', 'could', 'ask', 'opinion', 'class', 'water', 'either', 'need', 'provide', 'knowledge', 'need', 'know', 'water', 'find', 'breakfast', 'need', 'coffee', 'everyone', 'drink', 'pastry', 'breakfast']"
['nan'],"['advisor', 'helpful', 'make', 'sure', 'schedule', 'work', 'feel', 'really', 'comfortable', 'stress', 'current', 'schedule']",['nan'],['nan'],['nan'],['nan'],['nan']
"['allow', 'take', 'second', 'time', 'see', 'could', 'good', 'score']",['nan'],"['student', 'tell', 'bring', 'luggage', 'residence', 'check']","['know', 'parent', 'come', 'get', 'involve', 'student']",['nope'],"['math', 'basement', 'ball', 'room', 'game', 'activity', 'good', 'way', 'bond']",['nan']
['nan'],['nan'],['nan'],"['make', 'good', 'connection']",['nan'],"['even', 'activity', 'get', 'meet', 'new', 'people']",['nan']
[],['nan'],['nan'],['nan'],['nan'],['nan'],"['provide', 'towel', 'sheet', 'inform', 'would']"
['nan'],['nan'],['nan'],['fine'],"['open', 'try', 'class']",['nan'],['nan']
"['give', 'information', 'format', 'answer', 'input', 'desire', 'way']",['nan'],['nan'],['nan'],"['check', 'dorm', 'could', 'little', 'good', 'mark', 'find', 'eventually']",['social'],"['enough', 'group', 'activity', 'make', 'friend', 'small', 'group', 'make', 'early', 'friendship']"
['nope'],"['advisor', 'great', 'make', 'feel', 'welcome', 'super', 'excite', 'start', 'fall', 'make', 'feel', 'dumb', 'understand', 'stuff', 'take', 'extra', 'time', 'explain', 'thing']",['informative'],"['maybe', 'session', 'dedicate', 'meet', 'people', 'similar', 'interest', 'college']","['let', 'student', 'get', 'know', 'campus']","['get', 'know', 'people', 'room', 'morning']","['much', 'fun', 'wait', 'fall']"
['nan'],['nan'],['nan'],['nan'],"['campus', 'tour']",['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],"['go', 'map', 'help', 'student', 'figure', 'class', 'well', 'future', 'residence', 'hall']",['nan'],['nan']
"['module', 'placement', 'test']",['nan'],['nan'],['nan'],['nan'],['nan'],"['day', 'long', 'lot', 'process', 'one', 'break', 'maybe', 'implement', 'break']"
['nan'],"['could', 'pull', 'transcript', 'business', 'course', 'credit', 'schedule', 'normally', 'student']",['nan'],['nan'],[],"['free', 'time', 'walk', 'around']",['nan']
['nan'],"['bore', 'student', 'already', 'take', 'class', 'kent', 'campus']",['nan'],['nothing'],['nan'],"['favorite', 'part', 'meal', 'free', 'time', 'friend', 'even']",['nan']
['nan'],['nan'],['nan'],"['really', 'accord', 'meet', 'nothing', 'specifically', 'push', 'u', 'together']","['think', 'story', 'really', 'help', 'normalize', 'college', 'experience', 'bring', 'level', 'first', 'year', 'student', 'help', 'destroy', 'social', 'hierarchy', 'year', 'norm', 'high', 'school', 'good', 'feel', 'actually', 'enjoy', 'presence', 'friend', 'level', 'rather', 'level', 'even', 'though', 'involve', 'think', 'would', 'benefit', 'incoming', 'student', 'even', 'interact']","['favorite', 'part', 'make', 'friend', 'whole', 'new', 'group', 'people', 'fun', 'kiva', 'every', 'activity', 'host', 'kiva', 'much', 'fun', 'love', 'extremely', 'fun', 'well']","['orientation', 'really', 'really', 'great', 'really', 'worry', 'able', 'navigate', 'without', 'parent', 'figure', 'program', 'make', 'feel', 'really', 'easy']"
"['there', 'much', 'prove', 'everyone', 'hat', 'test', 'hate', 'even']",['nan'],['nan'],['open'],['yes'],"['love', 'freedom', 'end', 'night']",['nan']
