OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
['nan'],['nan'],['nan'],['nan'],"['nice', 'hear', 'flash', 'guide', 'feedback', 'question', 'give', 'good', 'answer']","['accomplish', 'goal', 'dream']",['nan']
,,,,,,
['nan'],['nan'],['nan'],[],"['hear', 'flash', 'guide', 'story']","['get', 'involve', 'well', 'class']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['good', 'grade']",['nan']
['nan'],['nan'],['nan'],"['go', 'build']","['get', 'chance', 'meet', 'new', 'people']","['get', 'involve', 'different', 'activity', 'get', 'know', 'new', 'people']",['nan']
"['love', 'take', 'test', 'show', 'use', 'tool', 'even', 'tell', 'click', 'also', 'like', 'could', 'take', 'time', 'test']","['quick', 'like', 'class', 'already', 'pick']",['nan'],"['tour', 'campus']","['split', 'college', 'go', 'learn', 'college', 'art']","['excel', 'class', 'respect', 'everyone', 'around', 'well', 'kent', 'state', 'property', 'pride', 'school', 'apart']",['nan']
"['would', 'make', 'placement', 'assessment', 'easy', 'type', 'control', 'please']",['nan'],['nan'],"['would', 'appreciate', 'additional', 'information', 'study', 'abroad']","['overall', 'atmosphere', 'excitement', 'everyone', 'share']","['unknown', 'boundary']",['nan']
['nan'],"['wonderful', 'experience', 'explain', 'everything', 'make', 'worry', 'class', 'excite', 'pick', 'want', 'would', 'help']",['nan'],"['go', 'residence', 'hall', 'know', 'tour', 'people', 'first', 'time', 'tip', 'help', 'maybe', 'pamphlet', 'instead', 'like', 'hour', 'sit', 'listen', 'way', 'review', 'go', 'around', 'campus']","['love', 'schedule', 'class', 'hear', 'story', 'nice', 'wish', 'would', 'tell', 'give', 'advice', 'get', 'late', 'hospital', 'sure', 'happen', 'begin', 'wish', 'freedom', 'guide', 'split', 'group', 'personal', 'everyone']","['make', 'happy', 'help', 'future', 'show', 'pride', 'school', 'best']","['sure', 'whole', 'experience', 'good', 'people', 'dedicate', 'involve', 'think', 'come', 'late', 'pain', 'help', 'sit', 'long', 'good', 'anyone', 'still', 'excite', 'attend', 'wait', 'everything', 'finally', 'real']"
['nan'],['nan'],['nan'],['nan'],"['meet', 'new', 'people', 'spend', 'time']","['well', 'class', 'get', 'involve']",['nan']
['nan'],['helpful'],['nan'],['nan'],"['social', 'hour', 'get', 'hangout', 'flash', 'guide', 'ask', 'question', 'enjoy', 'company']","['try', 'hard', 'whatever', 'also', 'achieve', 'goal', 'set', 'self']",['nan']
['nan'],['nan'],"['want', 'say', 'flash', 'guide', 'beyond', 'awesome', 'want', 'one']",['nan'],"['flash', 'guide', 'definitely']","['help', 'fellow', 'peer', 'succeed', 'represent', 'kent', 'state']","['please', 'something', 'nice', 'amaze', 'every', 'regard']"
"['possibly', 'make', 'test', 'short']",['nan'],['nan'],"['familiarize', 'campus', 'student']","['flash', 'guide', 'helpful', 'make', 'whole', 'experience', 'fun', 'enjoyable']","['become', 'well', 'round', 'student', 'successfully', 'go', 'society', 'make', 'difference']",['nan']
['nan'],['nan'],['nan'],"['include', 'campus', 'tour']","['flash', 'guide', 'amaze', 'people', 'easy', 'talk', 'subject']",[],['nan']
['nan'],['helpful'],['nan'],"['talk', 'lot', 'campus', 'offer', 'find', 'individual', 'office', 'information', 'thing', 'need', 'speak', 'academic', 'advise', 'office', 'sure', 'get', 'touch', 'actual', 'office', 'really', 'think', 'full', 'tour', 'would', 'helpful']","['food', 'schedule', 'class']","['strive', 'best', 'academically', 'socially']","['go', 'flash']"
,,,,,,
"['finish', 'foreign', 'language', 'test', 'specifically', 'tell', 'u', 'like', 'mathematics', 'test', 'go', 'page', 'make', 'seem', 'like', 'connection', 'drop', 'reality', 'finish']","['advisor', 'amaze', 'help', 'tell', 'need', 'specifically', 'comfort', 'think', 'need', 'take', 'thing', 'really']","['maybe', 'try', 'put', 'interactive', 'thing', 'talk', 'lot', 'people', 'include', 'become', 'tire', 'irritate', 'sit', 'long', 'also', 'catch', 'spirit', 'people', 'come', 'isle', 'throw', 'shirt', 'everyone', 'front', 'advantage', 'flash', 'guide', 'amaze', 'let', 'keep', 'best', 'shout', 'flash', 'guide']","['sex', 'talk', 'people', 'room']","['flash', 'guide', 'best', 'help', 'give', 'u', 'story', 'mess', 'make', 'u', 'feel', 'home', 'welcome']","['achieve', 'goal', 'come', 'make', 'new', 'friend', 'work', 'hard', 'fun', 'new', 'flash', 'family']",['nan']
,,,,,,
,,,,,,
['nan'],['nan'],['nan'],"['help', 'u', 'find', 'class']","['sure', 'best', 'part', 'make', 'everyone', 'feel', 'welcome', 'comfortable', 'fun']","['work', 'hard', 'success']",['nan']
,,,,,,
"['would', 'helpful', 'clarification', 'account', 'placement', 'assessment', 'portion', 'check', 'however', 'would', 'receive', 'constant', 'call', 'ask', 'complete']","['woman', 'help', 'schedule', 'class', 'helpful', 'ask', 'class', 'day', 'week', 'want', 'also', 'tell', 'write', 'challenge', 'could', 'take', 'test', 'full', 'act', 'score', 'would', 'qualify']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],"['meet', 'flash', 'guide', 'late', 'night', 'interact', 'dance', 'session', 'also', 'listen', 'flash', 'guide', 'story']",[],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],['succeed'],['nan']
"['didnt', 'really', 'like', 'set', 'little', 'difficult', 'navigate']",['nan'],['nan'],"['scholarship', 'option']","['overall', 'feel', 'like', 'belong']","['strive', 'make', 'positive', 'impact', 'world', 'around']",['nan']
,,,,,,
['nan'],['nan'],['nan'],"['tour', 'campus', 'college']","['enjoy', 'first', 'class']","['work', 'hard', 'want']",['nan']
['nan'],['nan'],['nan'],"['get', 'rid', 'pep', 'rally']","['free', 'time', 'end']","['work', 'hard', 'apply']",['nan']
['nan'],['nan'],['nan'],['nan'],"['get', 'take', 'one', 'one', 'jordan', 'help', 'answer', 'question', 'make', 'feel', 'like', 'part', 'kent', 'state', 'family']",[],['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['well', 'school', 'happy']",['nan']
,,,,,,
,,,,,,
['nan'],"['wish', 'would', 'first', 'day', 'optional', 'information', 'second', 'day', 'there', 'lot', 'information', 'cover', 'live', 'need', 'stay']",['nan'],['nan'],['nan'],['best'],['nan']
[],['nan'],['nan'],['nan'],['nan'],"['help', 'develop', 'school', 'good', 'manner', 'represent', 'school', 'good', 'manner']",['nan']
"['act', 'score', 'enough', 'need', 'take', 'test', 'tell', 'try', 'take', 'test', 'many', 'technical', 'issue']","['advisor', 'nice', 'appointment', 'seem', 'rush', 'say', 'meet', 'week', 'semester', 'sure', 'schedule', 'feel', 'whelm', 'little', 'fast', 'appointment']",['nan'],"['flash', 'guide', 'story', 'catch', 'spirit']","['flash', 'guide', 'favorite', 'part', 'friendly', 'knowledgeable', 'know', 'go', 'peer', 'help', 'lot', 'already', 'know', 'people', 'know', 'campus', 'many', 'people', 'ask', 'question']","['best', 'student', 'find', 'help', 'need', 'also', 'responsible', 'fun', 'enjoy', 'college', 'experience']","['girl', 'room', 'nice', 'invite', 'friend', 'room', 'social', 'hour', 'mind', 'soon', 'realize', 'people', 'want', 'connect', 'around', 'know', 'could', 'send', 'text', 'ra', 'situation', 'felt', 'time', 'night', 'would', 'late', 'ask', 'new', 'room']"
['nan'],['nan'],['nan'],"['connect', 'student']","['flash', 'guide', 'story', 'advise', 'session']","['thrive', 'successful']",['nan']
"['definitely', 'need', 'easy', 'find']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
"['question', 'difficult', 'student', 'figure', 'fact', 'do', 'type', 'algebra', 'geometry', 'since', 'last', 'feel', 'like', 'placement', 'test', 'take', 'early', 'summer', 'way', 'student', 'learn', 'year', 'fresh', 'mind', 'achieve', 'good', 'score', 'well', 'accurate', 'one', 'also', 'much', 'hand', 'learner', 'worker', 'test', 'easy', 'like', 'able', 'write', 'cross', 'question', 'help', 'visualize', 'problem', 'good']",['nan'],"['lecture', 'keep', 'attention', 'long', 'span', 'time', 'fill', 'speech', 'speech', 'personally', 'add', 'get', 'difficult', 'pay', 'attention', 'also', 'take', 'important', 'information', 'give']",['nan'],"['schedule', 'class', 'able', 'see', 'early', 'relation', 'dorm', 'anxiety', 'time', 'come', 'big', 'relief', 'know', 'go', 'somewhat', 'learn', 'way', 'around']","['open', 'opportunity', 'arise', 'take', 'risk', 'believe', 'well', 'peer', 'importantly', 'find', 'mean', 'life']",['nan']
,,,,,,
['nan'],"['flash', 'guide', 'fun', 'easy', 'communicate']",['nan'],"['financial', 'assistance']","['flash', 'guide']","['get', 'involve', 'open', 'mind']",['nan']
['nan'],['nan'],['nan'],"['bus', 'rout']","['meet', 'new', 'people']","['success', 'happiness', 'school']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['respectful', 'find', 'purpose']",['nan']
"['necessarily', 'make', 'sure', 'take', 'time']","['advisor', 'welcome', 'nice', 'understand', 'want', 'look', 'like', 'help', 'achieve', 'goal']",['nan'],['nan'],"['meet', 'make', 'make', 'mind', 'one', 'also', 'advise', 'schedule', 'class', 'another', 'experience', 'enjoy']","['must', 'successful', 'represent', 'kent', 'state', 'university', 'wherever', 'go']","['wonderful', 'experience']"
['nan'],['nan'],['nan'],"['talk', 'club']","['schedule', 'class']","['involve', 'kent', 'community']",['nan']
